Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
Q9CXV0	Q9CYZ8	ISL2	SSBP2			MGI:109156	MGI:1914220	20211142:0018:HT|20211142:0397:HT
Q9CXV0	Q9D032	ISL2	SSBP3			MGI:109156	MGI:1919725	20211142:0018:HT|20211142:0397:HT
Q9CXV0	Q9D0P5	ISL2	PYGO1			MGI:109156	MGI:1919385	20211142:0018:HT|20211142:0397:HT
Q9CXY6	Q9CXY6	ILF2	ILF2			MGI:1915031	MGI:1915031	22833610:0114:LC
Q9CXY6	Q9Z1X4	ILF2	ILF3			MGI:1915031	MGI:1339973	22833610:0114:LC
Q9CXZ1	Q9D6J6	NDUFS4	NDUFV2			MGI:1343135	MGI:1920150	29915388:0114:LC|33514727:0114:LC|33067417:0114:LC|33990335:0114:LC
Q9CXZ1	Q9DC69	NDUFS4	NDUFA9			MGI:1343135	MGI:1913358	29915388:0114:LC|33514727:0114:LC|33067417:0114:LC|33990335:0114:LC
Q9CXZ1	Q9DC70	NDUFS4	NDUFS7			MGI:1343135	MGI:1922656	29915388:0114:LC
Q9CXZ1	Q9DCT2	NDUFS4	NDUFS3			MGI:1343135	MGI:1915599	29915388:0114:LC|33514727:0114:LC|33067417:0114:LC|33990335:0114:LC
Q9CY99	S4R1L6	ZFP623	MZF1			MGI:1926084	MGI:107457	20211142:0018:HT|20211142:0397:HT
Q9CYZ8	Q9CYZ8	SSBP2	SSBP2			MGI:1914220	MGI:1914220	20211142:0018:HT|20211142:0397:HT
Q9CYZ8	Q9D032	SSBP2	SSBP3			MGI:1914220	MGI:1919725	20211142:0018:HT|20211142:0397:HT
Q9CYZ8	Q9D0P5	SSBP2	PYGO1			MGI:1914220	MGI:1919385	20211142:0018:HT|20211142:0397:HT
Q9CYZ8	Q9JKU8	SSBP2	LMX1A			MGI:1914220	MGI:1888519	20211142:0018:HT|20211142:0397:HT
Q9CYZ8	Q9WUH2	SSBP2	LHX9			MGI:1914220	MGI:1316721	20211142:0397:HT|11591653:0397:HT
Q9CYZ8	Q9Z0S2	SSBP2	LHX2			MGI:1914220	MGI:96785	20211142:0018:HT|20211142:0397:HT
Q9CYZ8	Q9Z247	SSBP2	FKBP9			MGI:1914220	MGI:1350921	11591653:0397:HT
Q9CZ82	Q9D7W5	MED18	MED8		MNCB-2386	MGI:1914469	MGI:1915269	31402173:0114:LC
Q9CZ82	Q9D8C6	MED18	MED11			MGI:1914469	MGI:1913422	31402173:0114:LC
Q9CZ82	Q9R0X0	MED18	MED20			MGI:1914469	MGI:1929648	31402173:0114:LC
Q9CZA6	Q9D6W8	NDE1	BORCS6			MGI:1914453	MGI:1919173	11591653:0018:HT|11591653:0397:HT
Q9CZL5	Q9CZL5	PCBD2	PCBD2			MGI:1919812	MGI:1919812	10966642:0114:LC|15182178:0114:LC|25538247:0114:LC
Q9CZP5	Q9CZP5	BCS1L	BCS1L			MGI:1914071	MGI:1914071	32042153:0114:LC
Q9D020	Q9D020	NT5C3A	NT5C3A			MGI:1927186	MGI:1927186	16672222:0114:LC|17850744:0114:LC
Q9D032	Q9EP71	SSBP3	RAI14			MGI:1919725	MGI:1922896	20211142:0018:HT|20211142:0397:HT
Q9D032	Q9JHE6	SSBP3	HES6			MGI:1919725	MGI:1859852	20211142:0018:HT|20211142:0397:HT
Q9D032	Q9WUH2	SSBP3	LHX9			MGI:1919725	MGI:1316721	20211142:0018:HT|20211142:0397:HT
Q9D032	Q9WV72	SSBP3	ASB3			MGI:1919725	MGI:1929749	20211142:0018:HT|20211142:0397:HT
Q9D032	Q9WVB3	SSBP3	TLE6			MGI:1919725	MGI:2149593	20211142:0018:HT|20211142:0397:HT
Q9D032	Q9Z0S2	SSBP3	LHX2			MGI:1919725	MGI:96785	20211142:0018:HT|20211142:0397:HT
